campanella gets the tone just right funny in the middle of sad in the middle of hopeful	1
overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone	1
cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want but it 's still damn funny stuff	1
mr deeds is , as comedy goes , very silly and in the best way	1
great over the top moviemaking if you 're in a slap happy mood	1
average , at best , i 'm afraid	0
when you find yourself rooting for the monsters in a horror movie , you know the picture is in trouble	0
extremely bad	0
shatner is probably the funniest person in the film , which gives you an idea just how bad it was	0
this is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie	0
